TotalCharges,MonthlyCharges,tenure,is_monthly_contract,Contract_Two year,Contract_Month-to-month,avg_monthly_charge,is_new_customer,no_value_added,PaymentMethod_Electronic check,PhoneService_enc,InternetService_Fiber optic,is_fiber_optic,OnlineSecurity_enc,TechSupport_enc,num_services,tenure_group_new_0_12,Dependents_enc,PaperlessBilling_enc
1701.65,49.2,35,1,0,1,48.61857142857143,0,1,1,0,0,0,0,0,3,0,0,0
1151.55,75.1,15,1,0,1,76.77,0,0,0,1,1,1,1,0,2,0,1,0
590.35,40.55,13,0,1,0,45.41153846153846,0,0,0,0,0,0,1,1,3,0,1,0
1905.7,73.5,26,0,1,0,73.29615384615384,0,0,0,1,0,0,0,0,5,0,0,1
44.55,44.55,1,1,0,1,44.55,1,1,1,1,0,0,0,0,1,1,1,0
5196.1,79.5,66,0,1,0,78.72878787878788,0,0,0,1,0,0,0,1,6,0,1,1
19.8,19.8,1,1,0,1,19.8,1,0,0,1,0,0,0,0,1,1,0,0
2379.1,56.6,40,1,0,1,59.4775,0,0,0,1,0,0,0,0,2,0,0,0
3808.2,59.8,65,0,1,0,58.58769230769231,0,0,0,1,0,0,0,1,3,0,0,1
4847.05,80.55,60,0,0,0,80.78416666666666,0,0,0,1,0,0,0,1,5,0,0,0
287.85,59.9,5,1,0,1,57.57000000000001,1,0,0,1,0,0,1,1,4,1,0,0
232.55,49.4,5,1,0,1,46.510000000000005,1,0,0,1,0,0,1,0,2,1,1,1
123.05,50.95,2,1,0,1,61.525,1,0,0,1,0,0,1,0,2,1,0,0
2000.2,67.6,30,1,0,1,66.67333333333333,0,0,1,1,0,0,1,1,5,0,1,0
3474.2,95.4,36,1,0,1,96.50555555555556,0,1,1,1,1,1,0,0,3,0,0,1
3842.6,69.05,55,0,1,0,69.86545454545454,0,1,0,1,1,1,0,0,1,0,1,1
2613.4,84.75,31,1,0,1,84.30322580645162,0,0,0,1,1,1,1,0,3,0,0,1
973.65,35.9,28,1,0,1,34.77321428571428,0,1,1,0,0,0,0,0,1,0,1,1
326.8,18.95,16,0,1,0,20.425,0,0,0,1,0,0,0,0,1,0,0,0
130.5,20.15,6,1,0,1,21.75,1,0,0,1,0,0,0,0,1,1,0,0
2220.1,85.9,27,0,0,0,82.22592592592592,0,0,1,1,1,1,1,0,3,0,0,1
1474.35,25.3,58,0,1,0,25.419827586206896,0,0,0,1,0,0,0,0,1,0,0,1
7732.65,104.9,72,0,1,0,107.39791666666666,0,0,0,1,1,1,1,1,6,0,1,1
961.4,35.75,28,1,0,1,34.33571428571428,0,0,0,0,0,0,0,1,2,0,0,1
3355.65,85.05,40,0,0,0,83.89125,0,1,1,1,1,1,0,0,3,0,1,1
20.5,20.5,1,1,0,1,20.5,1,0,0,1,0,0,0,0,1,1,0,0
412.5,80.0,5,1,0,1,82.5,1,1,1,1,1,1,0,0,2,1,0,1
69.2,69.2,1,1,0,1,69.2,1,1,1,1,1,1,0,0,1,1,0,1
1275.65,105.3,12,1,0,1,106.30416666666667,0,0,1,1,1,1,0,0,5,1,1,1
453.4,96.1,5,1,0,1,90.68,1,0,1,1,1,1,0,1,4,1,0,1
6045.9,86.1,71,0,1,0,85.15352112676055,0,0,0,1,0,0,1,1,7,0,0,1
228.4,76.95,3,1,0,1,76.13333333333334,1,1,1,1,1,1,0,0,1,1,0,1
655.85,19.65,30,1,0,1,21.861666666666668,0,0,0,1,0,0,0,0,1,0,0,0
507.9,20.2,25,0,0,0,20.316,0,0,0,1,0,0,0,0,1,0,0,1
1331.05,24.55,52,0,1,0,25.597115384615385,0,0,0,1,0,0,0,0,1,0,1,0
4874.8,110.0,46,0,0,0,105.97391304347826,0,0,1,1,1,1,1,0,6,0,0,1
597.9,70.5,9,1,0,1,66.43333333333334,0,1,1,1,1,1,0,0,1,1,0,1
1564.4,86.85,19,1,0,1,82.33684210526316,0,1,1,1,1,1,0,0,2,0,0,1
611.65,49.4,12,1,0,1,50.97083333333333,0,0,1,1,0,0,0,0,2,1,0,1
4525.8,98.7,45,0,0,0,100.57333333333334,0,0,0,1,1,1,0,1,5,0,0,1
3684.95,104.5,36,1,0,1,102.35972222222222,0,0,0,1,1,1,1,0,5,0,1,1
3691.2,95.1,38,1,0,1,97.13684210526316,0,0,0,1,1,1,0,0,4,0,0,1
19.2,19.2,1,1,0,1,19.2,1,0,0,1,0,0,0,0,1,1,1,0
1037.75,98.5,10,1,0,1,103.775,0,1,1,1,1,1,0,0,4,1,0,1
559.2,44.8,13,1,0,1,43.01538461538462,0,1,0,1,0,0,0,0,1,0,1,0
1425.45,82.0,18,0,0,0,79.19166666666666,0,0,0,1,0,0,0,1,5,0,0,1
1593.1,45.4,37,0,1,0,43.05675675675676,0,0,1,0,0,0,1,1,3,0,0,0
122.0,20.35,5,1,0,1,24.4,1,0,0,1,0,0,0,0,1,1,1,0
815.5,74.95,11,1,0,1,74.13636363636364,0,0,1,1,1,1,0,0,2,1,0,0
6171.2,99.15,64,1,0,1,96.425,0,0,0,1,1,1,0,1,5,0,1,1
55.55,55.55,1,1,0,1,55.55,1,1,0,1,0,0,0,0,2,1,0,0
3473.4,92.5,37,1,0,1,93.87567567567568,0,1,1,1,1,1,0,0,3,0,0,1
4997.5,105.25,48,1,0,1,104.11458333333331,0,0,0,1,1,1,1,0,5,0,1,1
1899.65,94.55,20,1,0,1,94.9825,0,1,1,1,1,1,0,0,3,0,0,1
1800.05,69.5,26,1,0,1,69.2326923076923,0,0,0,1,0,0,1,0,4,0,0,1
578.5,19.4,30,0,1,0,19.28333333333333,0,0,0,1,0,0,0,0,1,0,0,0
4577.9,66.9,69,0,1,0,66.3463768115942,0,0,0,1,0,0,1,1,4,0,0,1
5597.65,89.4,63,0,1,0,88.8515873015873,0,0,0,1,0,0,1,1,7,0,1,1
126.05,19.35,5,1,0,1,25.21,1,0,0,1,0,0,0,0,1,1,0,0
790.0,20.45,39,0,1,0,20.256410256410252,0,0,0,1,0,0,0,0,1,0,0,1
364.55,101.7,4,1,0,1,91.1375,1,0,1,1,1,1,0,0,4,1,1,1
6067.4,101.15,60,0,1,0,101.12333333333332,0,1,0,1,1,1,0,0,4,0,0,0
2012.7,103.3,19,1,0,1,105.93157894736842,0,0,1,1,1,1,0,1,5,0,1,0
1145.35,102.0,11,1,0,1,104.12272727272726,0,0,1,1,1,1,0,0,4,1,0,1
3186.65,99.95,31,1,0,1,102.79516129032258,0,0,1,1,1,1,0,0,4,0,0,1
2438.6,84.3,30,1,0,1,81.28666666666666,0,0,0,1,1,1,1,0,4,0,0,1
1279.0,24.6,53,0,1,0,24.132075471698112,0,0,0,1,0,0,0,0,1,0,0,0
461.7,89.35,5,1,0,1,92.34,1,0,1,1,1,1,0,1,4,1,0,1
3974.7,79.6,51,0,0,0,77.93529411764706,0,0,0,1,1,1,0,0,2,0,0,1
6388.65,89.3,71,0,1,0,89.98098591549295,0,0,0,1,0,0,1,1,7,0,0,0
1498.35,25.0,61,0,1,0,24.56311475409836,0,0,0,1,0,0,0,0,1,0,1,1
606.55,74.5,8,1,0,1,75.81875,0,0,1,1,1,1,0,0,2,1,0,1
568.85,54.95,10,1,0,1,56.885000000000005,0,0,0,1,0,0,1,1,3,1,0,1
617.15,49.85,12,1,0,1,51.42916666666667,0,1,0,0,0,0,0,0,3,1,0,1
4264.6,63.85,66,1,0,1,64.61515151515152,0,0,1,1,0,0,0,1,3,0,0,0
1440.75,60.45,24,1,0,1,60.03125,0,0,0,1,0,0,1,1,4,0,0,0
235.1,56.5,4,1,0,1,58.775,1,0,0,1,0,0,0,1,3,1,1,0
355.2,88.95,4,1,0,1,88.8,1,0,1,1,1,1,0,0,3,1,0,1
2016.45,55.6,35,0,0,0,57.612857142857145,0,0,0,1,0,0,1,0,3,0,1,0
3778.1,85.7,45,1,0,1,83.95777777777778,0,0,0,1,1,1,1,1,4,0,0,1
7138.65,110.0,65,0,0,0,109.8253846153846,0,0,0,1,1,1,1,1,6,0,0,1
1152.8,80.9,14,1,0,1,82.34285714285714,0,1,0,1,1,1,0,0,2,0,1,1
3088.75,50.7,61,0,0,0,50.635245901639344,0,0,0,0,0,0,1,1,4,0,1,1
5375.15,80.35,68,0,1,0,79.04632352941177,0,0,0,1,1,1,1,0,3,0,1,0
1282.85,57.75,23,0,0,0,55.77608695652174,0,0,0,1,0,0,1,1,4,0,1,1
4509.5,81.55,55,1,0,1,81.99090909090908,0,0,1,1,1,1,0,0,3,0,0,1
1718.2,24.45,69,0,1,0,24.90144927536232,0,0,0,1,0,0,0,0,1,0,1,0
580.1,81.25,7,1,0,1,82.87142857142858,0,0,0,1,0,0,1,1,6,1,0,0
5730.7,79.05,72,0,1,0,79.59305555555555,0,0,0,1,1,1,1,0,2,0,1,0
2961.4,49.7,61,0,0,0,48.54754098360656,0,0,0,1,0,0,1,0,2,0,1,1
5017.7,80.3,64,0,0,0,78.4015625,0,0,0,1,1,1,1,0,3,0,0,0
2931.0,93.2,32,1,0,1,91.59375,0,1,1,1,1,1,0,0,3,0,0,1
79.55,79.55,1,1,0,1,79.55,1,1,0,1,1,1,0,0,2,1,0,1
214.4,82.3,3,1,0,1,71.46666666666667,1,0,0,1,1,1,1,1,3,1,0,1
50.6,20.2,3,1,0,1,16.866666666666667,1,0,0,1,0,0,0,0,1,1,1,0
6096.45,84.4,72,0,1,0,84.67291666666667,0,0,0,1,0,0,1,1,6,0,0,1
786.5,29.8,26,1,0,1,30.25,0,1,0,0,0,0,0,0,1,0,1,1
3801.7,100.45,39,0,1,0,97.47948717948718,0,0,1,1,1,1,1,0,5,0,0,1
19.55,19.55,1,1,0,1,19.55,1,0,0,1,0,0,0,0,1,1,0,0
19.5,19.5,1,1,0,1,19.5,1,0,0,1,0,0,0,0,1,1,0,1
4968.0,88.9,56,0,0,0,88.71428571428571,0,1,0,1,1,1,0,0,3,0,1,0
4533.9,107.55,43,0,0,0,105.43953488372092,0,0,1,1,1,1,0,1,5,0,0,1
25.4,25.4,1,1,0,1,25.4,1,0,0,1,0,0,0,0,1,1,1,0
1964.6,70.9,29,0,0,0,67.7448275862069,0,0,0,1,0,0,0,0,4,0,0,0
184.65,82.0,2,1,0,1,92.325,1,0,1,1,1,1,0,0,2,1,0,1
5461.45,79.6,68,0,0,0,80.31544117647059,0,0,0,1,1,1,0,0,3,0,0,0
6373.1,89.55,67,1,0,1,95.12089552238808,0,0,0,1,1,1,0,0,3,0,1,1
467.7,24.9,19,0,1,0,24.61578947368421,0,0,0,1,0,0,0,0,1,0,1,1
3708.4,56.75,66,0,1,0,56.18787878787879,0,0,0,0,0,0,0,0,4,0,1,1
