,MutualInfo,Chi2,RF_Importance,LR_L1,SCORE_FINAL
TotalCharges,0.41221338452936945,1.0,1.0,0.0,0.6030533461323424
MonthlyCharges,0.5222945480286663,0.006468391360873741,0.9475360573316248,0.7968890295242774,0.5682970065613606
tenure,0.7963588296936938,0.026164667408955164,0.8714541296897172,0.5589128821033754,0.5632226272239355
is_monthly_contract,0.9555534014292929,0.0008752341159003673,0.5027767435633174,0.6428009764765424,0.5255015888962633
Contract_Two year,0.6606954376025111,0.0008171452493174148,0.14861950998854612,0.8224806397660078,0.40815318315159566
Contract_Month-to-month,1.0,0.0008752341159003673,0.5480176524829978,0.06597737384047371,0.40371756510984297
avg_monthly_charge,0.36042774954736445,0.0064542852548136525,0.9656013451891394,0.1722985972678088,0.3761954943147816
is_new_customer,0.4448533098417054,0.0008288111402017297,0.0744934527159997,0.6124924243716916,0.2831669995173996
no_value_added,0.6718226119303581,0.0011184054321678202,0.21726092517327533,0.22301709252893545,0.27830475876618416
PaymentMethod_Electronic check,0.5307362437578521,0.0007490066698302846,0.18420885307871937,0.36863373943281014,0.27108196073480295
PhoneService_enc,0.0,3.474796929912411e-07,0.0,1.0,0.25000008686992325
InternetService_Fiber optic,0.4711654136660977,0.0006446557047547124,0.21038191180501545,0.0,0.17054799529396697
is_fiber_optic,0.48352050133638225,0.0006446557047547124,0.1764646949667312,0.0,0.16515746300196704
OnlineSecurity_enc,0.12727263577371614,0.0002558366852130349,0.08197792059263222,0.39891290725712186,0.15210482507717082
TechSupport_enc,0.1771167156811898,0.00022903474854511308,0.06552573165007734,0.34168391249942925,0.14613884864481036
num_services,0.2856346791145221,9.123820580545255e-05,0.196499019991338,0.05282502541964001,0.1337624906828264
tenure_group_new_0_12,0.4270705260647309,0.0008058541627621831,0.07807676372948097,0.020564982403098127,0.13162953159001803
Dependents_enc,0.21857714541528656,0.00023209988897583125,0.0963663614545994,0.1890294294618214,0.1260512590551708
PaperlessBilling_enc,0.05343963747430743,0.00018890386588932503,0.13813923049557877,0.3001865788035065,0.12298858765982051
tenure_group_champion_48_72,0.29315399882693544,0.0005283381851156709,0.08131840561030727,0.0,0.0937501856555896
Contract_One year,0.2548608700487562,0.00030069255641850326,0.03242624440544665,0.0,0.07189695175265534
OnlineBackup_enc,0.08599105507719584,5.1961717309943674e-05,0.06610999104663234,0.12102940742909062,0.06829560381755719
InternetService_No,0.2143870004729074,0.0004848012863914707,0.0335840659691445,0.0,0.06211396693211084
SeniorCitizen,0.040086045492498425,0.0002091285700418189,0.09097922824872016,0.11245807215847091,0.060933118617432835
MultipleLines_enc,0.0805435613341349,1.2976776071467534e-05,0.07474008007687974,0.08052487324320641,0.05895537285757313
InternetService_DSL,0.08731278889997167,0.00012801475680675967,0.016640163095389605,0.11746333066599678,0.05538607435454121
Partner_enc,0.09132260219482069,0.00012907231414854533,0.11398579648071412,0.0,0.05135936774742084
PaymentMethod_Bank transfer (automatic),0.13505781855291082,0.00014381462164481042,0.05800191424710585,0.0,0.04830088685541537
tenure_group_loyal_24_48,0.007198604917584199,5.499046254437367e-05,0.017050136168556027,0.12718845013374036,0.03787304542060624
gender_enc,0.0,0.0,0.14750619054727493,0.0,0.03687654763681873
DeviceProtection_enc,0.0,2.9268445536495712e-05,0.06295474191785652,0.0810180294223762,0.0360005099464423
PaymentMethod_Credit card (automatic),0.07781811480322962,0.0001756257147867876,0.05115956728899109,0.0,0.03228832695175187
tenure_group_medium_12_24,0.0,3.7383793254684693e-06,0.0040082370960608125,0.06715992887661805,0.017792976088001084
StreamingMovies_enc,0.0,2.9188065903050963e-05,0.06603104621629108,0.0,0.01651505857054853
StreamingTV_enc,0.0,3.770801247160141e-05,0.059145771376079785,0.0,0.014795869847137847
PaymentMethod_Mailed check,0.008968595185204905,7.255933239793712e-05,0.04987235764706778,0.0,0.014728378041167656
